Strategy Name,Total Return,Sharpe Ratio,Sortino Ratio,Max Drawdown,Win Rate,Total Trades,Profit Factor
EMA Crossover,-3.1322214796282792,-0.09027114184725114,-0.1313997137022721,17.524888243089663,40.0,5,0.7765659002688576
RSI Reversion,9.573999003493082,0.4538290728263184,0.6587100852509398,13.743861727658818,57.14285714285714,8,2.301120389377422
BB Breakout,-10.821715747901166,-0.4794921066502514,-0.6459099969602775,20.579025605878094,,1,
Supertrend,-9.409966674982032,-0.40484573737234614,-0.5735438996918115,16.333438296887355,28.57142857142857,7,0.6606622312018945
Benchmark,0.0,inf,inf,,,0,
